City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Atuona,3,PF,1573352373,78,-9.8,-139.03,79.92,13.06
Nikolskoye,90,RU,1573352373,93,59.7,30.79,41.0,2.24
Cayenne,40,GF,1573352373,88,4.94,-52.33,80.6,3.36
Mount Isa,43,AU,1573352373,8,-20.73,139.49,87.8,6.93
Cape Town,59,ZA,1573352126,77,-33.93,18.42,64.0,5.82
Rikitea,100,PF,1573352374,76,-23.12,-134.97,73.6,13.11
Bambous Virieux,75,MU,1573352374,93,-20.34,57.76,72.0,4.7
Provideniya,100,RU,1573352374,99,64.42,-173.23,34.23,3.33
Vaini,75,IN,1573352374,100,15.34,74.49,64.4,5.01
Nizhneudinsk,99,RU,1573352374,65,54.91,99.03,15.4,10.98
Carnarvon,98,ZA,1573352374,48,-30.97,22.13,59.68,5.5
Faanui,100,PF,1573352374,80,-16.48,-151.75,79.36,16.82
Hibbing,90,US,1573352375,79,47.43,-92.94,28.99,8.05
Guadalupe Victoria,40,MX,1573352375,94,21.68,-105.33,71.6,4.7
Jamestown,0,AU,1573352375,17,-33.21,138.6,74.55,8.72
Mataura,83,NZ,1573352375,81,-46.19,168.86,52.0,5.01
Kloulklubed,90,PW,1573352375,83,7.04,134.26,82.4,9.17
Mahebourg,75,MU,1573352375,93,-20.41,57.7,72.0,4.7
Vieste,20,IT,1573352376,87,41.88,16.18,50.0,1.12
Loanda,99,BR,1573352376,86,-22.93,-53.14,73.17,6.87
Lompoc,1,US,1573352376,93,34.64,-120.46,66.99,14.23
Saldanha,100,PT,1573352376,89,41.42,-6.55,40.08,6.2
Hobart,0,AU,1573352376,67,-42.88,147.33,64.0,18.34
Busselton,29,AU,1573352376,41,-33.64,115.35,84.0,5.41
Srednekolymsk,100,RU,1573352377,95,67.46,153.71,3.99,12.41
Norman Wells,20,CA,1573352377,91,65.28,-126.83,-4.01,4.7
Valparaiso,1,US,1573352169,86,41.47,-87.06,44.6,4.7
Port Hedland,40,AU,1573352377,6,-20.31,118.58,105.8,8.05
Mount Gambier,90,AU,1573352377,82,-37.83,140.78,55.4,14.99
Mar del Plata,97,AR,1573352378,68,-46.43,-67.52,47.79,16.71
Arraial do Cabo,100,BR,1573352378,94,-22.97,-42.02,73.45,14.83
Bluff,27,AU,1573352378,9,-23.58,149.07,86.54,3.89
Usinsk,72,RU,1573352378,98,66.0,57.56,-1.63,7.38
Mangan,67,IN,1573352378,44,27.5,88.54,57.61,3.36
Punta Arenas,1,CL,1573352378,81,-53.16,-70.91,44.6,6.93
Kamenka,98,MD,1573352378,90,48.03,28.7,57.0,5.99
Yulara,0,AU,1573352379,9,-25.24,130.99,84.2,10.29
Albany,1,US,1573352379,62,42.65,-73.75,34.0,6.93
Bredasdorp,95,ZA,1573352379,82,-34.53,20.04,62.6,13.87
Tuatapere,100,NZ,1573352379,81,-46.13,167.69,52.0,5.01
Smithers,75,CA,1573352100,74,54.78,-127.17,35.6,9.17
Touros,20,BR,1573352379,83,-5.2,-35.46,77.0,4.7
Longyearbyen,75,NO,1573352379,79,78.22,15.63,24.8,13.87
Thompson,75,CA,1573352108,77,55.74,-97.86,-0.41,4.7
Oistins,75,BB,1573352197,83,13.07,-59.53,80.6,20.8
Lata,0,IN,1573352380,12,30.78,78.62,33.03,2.39
Ponta Delgada,20,PT,1573352380,87,37.73,-25.67,59.0,5.82
Dikson,100,RU,1573352380,93,73.51,80.55,22.26,20.4
Chuy,32,UY,1573352380,86,-33.69,-53.46,61.86,10.22
Komsomolskiy,35,RU,1573352380,100,67.55,63.78,-6.29,3.8
Coquimbo,0,CL,1573352380,93,-29.95,-71.34,55.4,5.82
Kapaa,20,US,1573352381,69,22.08,-159.32,82.4,9.17
Hilo,1,US,1573352381,69,19.71,-155.08,82.4,6.93
Port Elizabeth,1,US,1573352381,73,39.31,-74.98,39.0,3.33
Georgetown,40,GY,1573352372,83,6.8,-58.16,82.4,9.17
Hermanus,55,ZA,1573352382,96,-34.42,19.24,61.0,5.99
Sholokhove,25,UA,1573352382,78,47.69,34.03,52.79,8.95
Port Alfred,100,ZA,1573352382,90,-33.59,26.89,66.0,7.0
Tasiilaq,100,GL,1573352382,74,65.61,-37.64,33.8,42.5
Vao,100,EE,1573352382,97,59.1,26.19,45.41,9.1
Saint-Philippe,90,CA,1573352382,59,45.36,-73.48,36.0,11.41
Mogadishu,100,SO,1573352274,70,2.04,45.34,81.9,5.26
